,0,1,2,3,4,5
0,0.5025214,0.6294976,-0.27891043,-0.31361353,0.19220367,0.0
1,0.68059444,-0.9179658,0.15520643,0.22708811,-0.050313406,0.0
2,-0.7257707,-1.2114087,0.06461342,-0.24148689,1.5874302,0.0
3,-1.4973372,1.537582,-0.6510658,-0.48293668,-1.2665838,0.0
4,1.5572982,0.9027474,0.045061197,-0.10254909,1.1795459,0.0
5,0.18162183,0.7995867,-0.1680417,-0.22863026,0.14984736,0.0
6,0.47703028,-0.19499047,-0.1407647,-0.25906923,0.81624776,0.0
7,-1.1365523,-0.1723042,-0.63219434,-0.59576416,-1.4452573,0.0
8,-1.0761247,-0.67586076,-0.26439425,-0.3277615,-0.48934132,0.0
9,-1.0597844,0.32893327,-0.38117716,-0.3613809,-0.2950906,0.0
10,-1.1930125,0.89973897,-0.34481835,-0.32428366,-0.11113921,0.0
11,4.7252107,-0.22350152,0.21173145,0.10121602,-0.3031467,0.0
12,-0.6260596,-0.060482856,-0.32729763,-0.30197152,0.59368837,0.0
13,0.9247864,1.9374458,0.050386056,-0.25008917,1.886777,0.0
14,0.09096313,1.0233238,-0.33545506,-0.35108298,0.47712195,0.0
15,-0.8828585,0.7040512,-0.6466432,-0.5730828,-0.5526117,0.0
16,-0.64895713,0.7791272,-0.6980811,-0.6572401,-1.4455466,0.0
17,0.23887761,0.34683535,-0.6117507,-0.65931094,-0.84822214,0.0
18,0.65749836,-0.6511982,0.32038972,0.06733422,1.5354811,0.0
19,-0.34776977,-1.359556,0.035210207,-0.06621586,0.41235572,0.0
20,-0.48088056,0.79039836,-0.10116166,-0.1752495,-0.15448701,0.0
21,0.22430627,-1.6136466,-0.49370262,-0.33044207,-0.14446878,0.0
22,0.049510818,-1.038246,-0.6359762,-0.30844766,-0.70363915,0.0
23,2.6769984,-0.8009601,-0.18919563,-0.27374536,-0.5437656,0.0
24,-0.5692746,-0.649333,-0.21370348,0.2891966,-0.52814823,1.0
25,0.7201431,0.0009161207,-0.20826583,-0.23073408,0.8799718,0.0
26,0.5856765,-0.13450499,-0.0669499,-0.12856634,0.2965796,0.0
27,2.1576743,0.5257989,-0.04340912,-0.2468633,0.23547287,0.0
28,-0.491815,0.5841337,-0.4322724,-0.37936,-0.99299866,0.0
29,0.030477587,-0.69125354,-0.43955448,-0.46633613,-0.6180548,0.0
30,-1.2184813,0.5951188,3.3922346,2.7128515,0.30466753,0.0
