,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,-0.0005888231,0.029219914,-0.03664999,0.012368679,0.03529645,-0.028695965,-0.012301195,0.0046010837,0.046489622,-0.0062234625,0.0055631623,0.04926041,-0.016735245,-0.042513847,0.043412093,-0.040781617,-0.010888003,-0.04833206,0.028045122,0.010416903,0.0
1,-0.02830267,-0.0076657906,-0.022038257,0.013024259,-0.003277909,0.040950906,-0.010113813,-0.0057169795,0.046489622,-0.0062234625,0.03686135,-0.047760274,-0.016735245,-0.042513847,0.043412093,-0.040781617,-0.042729724,-0.0066319928,0.028045122,0.010416903,0.0
2,0.011138879,0.004384052,-0.03664999,0.012368679,-0.003277909,0.040950906,0.029111769,-0.021304024,0.046489622,-0.0062234625,0.03686135,-0.047760274,-0.016735245,-0.042513847,-0.025363911,-0.013971735,-0.042729724,-0.0066319928,0.028045122,0.010416903,0.0
3,0.046663824,0.007457841,-0.01486095,0.01800504,-0.008059096,-0.02907747,0.028804842,-0.03258531,0.034369458,-0.012723289,0.02552737,0.046021525,0.010405444,-0.03014418,0.04378504,0.041709628,-0.011437975,0.0031414628,-0.004410185,-0.0086836815,1.0
4,0.04274944,0.017619941,-0.022038257,0.013024259,-0.003277909,0.040950906,0.029111769,-0.021304024,0.046489622,-0.0062234625,-0.047997903,-0.045187723,-0.016735245,-0.042513847,-0.025363911,-0.013971735,-0.042729724,-0.0066319928,0.028045122,0.010416903,0.0
5,-0.00538994,0.047409896,0.028963853,-0.039975308,-0.003277909,0.040950906,0.029111769,-0.021304024,0.046489622,-0.0062234625,0.03686135,-0.047760274,-0.016735245,-0.042513847,0.03236517,-0.030819762,-0.042729724,-0.0066319928,0.028045122,0.010416903,0.0
6,-0.04990697,0.017402243,-0.022038257,0.013024259,-0.003277909,0.040950906,-0.010113813,-0.0057169795,0.046489622,-0.0062234625,0.03686135,-0.047760274,-0.016735245,-0.042513847,-0.025363911,-0.013971735,-0.042729724,-0.0066319928,0.028045122,0.010416903,0.0
7,-0.045114707,0.0011253953,-0.046207618,-0.007255174,-0.003277909,0.040950906,-0.010113813,-0.0057169795,0.046489622,-0.0062234625,0.03686135,-0.047760274,-0.016735245,-0.042513847,0.03236517,-0.030819762,-0.042729724,-0.0066319928,0.028045122,0.010416903,0.0
8,-0.033232845,-0.018853664,-0.0033904426,0.03338257,-0.003277909,0.040950906,-0.010113813,-0.0057169795,0.046489622,-0.0062234625,0.03686135,-0.047760274,-0.016735245,-0.042513847,0.03236517,-0.030819762,-0.042729724,-0.0066319928,0.028045122,0.010416903,0.0
9,-0.047769677,0.036551286,0.015440751,-0.03350939,-0.022104109,0.024477962,-0.00964712,-0.020504845,0.034369458,-0.012723289,-0.014303505,-0.041070532,0.010405444,-0.03014418,-0.04320843,-0.030501295,0.0031852499,-0.036941957,0.020450797,-0.017184116,1.0
10,-0.035995245,-0.042438805,-0.0033904426,0.03338257,-0.003277909,0.040950906,-0.010113813,-0.0057169795,0.046489622,-0.0062234625,0.03686135,-0.047760274,-0.016735245,-0.042513847,0.043412093,-0.040781617,-0.042729724,-0.0066319928,0.028045122,0.010416903,0.0
11,-0.04626297,-0.0125255585,-0.046207618,-0.007255174,-0.0013879053,0.0038020983,0.029111769,-0.021304024,0.046489622,-0.0062234625,0.03686135,-0.047760274,-0.016735245,-0.042513847,0.03236517,-0.030819762,-0.042729724,-0.0066319928,0.028045122,0.010416903,0.0
12,-0.030352402,0.04700614,-0.03318931,0.030438218,-0.008059096,-0.02907747,-0.024880504,0.046228517,-0.009215724,-0.031595305,0.0065004826,0.036728468,-0.010967411,0.01324315,0.028092708,-0.02866739,-0.027742017,0.046399686,-0.022212183,0.02554145,1.0
13,0.045968343,-0.0027207136,-0.03664999,0.012368679,-0.0013879053,0.0038020983,0.029111769,-0.021304024,0.034369458,-0.012723289,0.03686135,-0.047760274,-0.016735245,-0.042513847,0.03236517,-0.030819762,-3.132969e-05,0.031667043,0.028045122,0.010416903,0.0
14,-0.01757121,0.013915885,-0.022038257,0.013024259,-0.003277909,0.040950906,-0.010113813,-0.0057169795,0.046489622,-0.0062234625,0.03686135,-0.047760274,0.0066678524,-0.009221625,-0.025363911,-0.013971735,-0.042729724,-0.0066319928,0.028045122,0.010416903,0.0
15,-0.008082785,-0.047499087,-0.022038257,0.013024259,-0.003277909,0.040950906,0.029111769,-0.021304024,0.046489622,-0.0062234625,0.03686135,-0.047760274,-0.016735245,-0.042513847,0.03236517,-0.030819762,-0.042729724,-0.0066319928,0.028045122,0.010416903,0.0
16,0.04425248,0.04964674,-0.03664999,0.012368679,-0.033082984,-0.023663139,0.029111769,-0.021304024,0.04012922,-0.022555113,0.03686135,-0.047760274,-0.016735245,-0.042513847,-0.025363911,-0.013971735,-0.042729724,-0.0066319928,0.028045122,0.010416903,0.0
17,0.007628478,-0.015264668,-0.01486095,0.01800504,-0.033082984,-0.023663139,-0.00964712,-0.020504845,0.046489622,-0.0062234625,0.03686135,-0.047760274,0.010405444,-0.03014418,-0.04320843,-0.030501295,-0.010888003,-0.04833206,0.028045122,0.010416903,1.0
18,0.028595183,-0.005673945,-0.022038257,0.013024259,-0.003277909,0.040950906,-0.010113813,-0.0057169795,0.034369458,-0.012723289,0.03686135,-0.047760274,-0.016735245,-0.042513847,0.03236517,-0.030819762,-0.042729724,-0.0066319928,0.028045122,0.010416903,0.0
19,-0.030376865,0.012560893,-0.030411113,-0.012812875,0.03529645,-0.028695965,0.049858514,0.0031420365,0.016967986,0.026687536,-0.029797232,0.028233182,0.018754188,0.0005672686,-0.04320843,-0.030501295,0.0003551729,-0.008041225,-0.022212183,0.02554145,0.0
20,-0.022941304,-0.048909426,-0.030411113,-0.012812875,-0.010219514,-0.008255839,-0.024880504,0.046228517,0.04012922,-0.022555113,0.02552737,0.046021525,0.010405444,-0.03014418,-0.04320843,-0.030501295,0.0003551729,-0.008041225,-0.04903344,-0.023003627,1.0
21,0.000984896,0.039070096,0.015440751,-0.03350939,-0.010219514,-0.008255839,-0.024880504,0.046228517,0.034369458,-0.012723289,-0.029797232,0.028233182,0.00039197132,0.038702082,0.043412093,-0.040781617,0.0003551729,-0.008041225,-0.022212183,0.02554145,1.0
22,0.041019727,0.030223582,-0.01486095,0.01800504,-0.008561134,-0.016958166,-0.024880504,0.046228517,0.04012922,-0.022555113,-0.014303505,-0.041070532,0.010405444,-0.03014418,0.04378504,0.041709628,-0.035898577,0.027253423,-0.022212183,0.02554145,1.0
23,0.02562381,-0.010407351,-0.0033904426,0.03338257,-0.003277909,0.040950906,-0.010113813,-0.0057169795,0.046489622,-0.0062234625,0.03686135,-0.047760274,-0.016735245,-0.042513847,-0.025363911,-0.013971735,-0.042729724,-0.0066319928,0.028045122,0.010416903,0.0
24,-0.032588888,0.048621643,-0.022038257,0.013024259,-0.003277909,0.040950906,-0.010113813,-0.0057169795,0.046489622,-0.0062234625,0.03686135,-0.047760274,0.0066678524,-0.009221625,0.03236517,-0.030819762,-0.042729724,-0.0066319928,0.028045122,0.010416903,0.0
